Country Name,Country Code,Año,Balanza_comercial,Desempleo,Exportaciones bienes y servicios,Exportaciones mercaderías,Exportaciones servicios comerciales,Importaciones bienes y servicios,Importaciones mercaderías,Importaciones servicios comerciales,Importaciones minerales y metales,Importaciones productos manufacturados,Exportaciones productos manufacturados,Exportaciones metales y minerales,Exportaciones combustibles,Importaciones combustibles,PIB
Estados Unidos,USA,2003,-5.03E+11,5.988699913,1.04E+12,7.25E+11,2.89E+11,1.54E+12,1.30E+12,2.95E+23,2.19E+12,9.94E+13,5.84E+13,1.50E+12,1.52E+12,1.61E+13,1.15E+13
Estados Unidos,USA,2004,-6.19E+11,5.528600216,1.18E+12,8.15E+11,3.33E+11,1.80E+12,1.53E+12,3.92E+23,3.06E+12,1.14E+14,6.07E+13,2.00E+12,2.08E+12,2.17E+13,1.22E+13
Estados Unidos,USA,2005,-7.21E+11,5.083499908,1.31E+12,9.01E+11,3.63E+11,2.03E+12,1.73E+12,5.06E+23,3.75E+12,1.24E+14,6.61E+13,2.57E+12,2.99E+12,3.01E+13,1.30E+13
Estados Unidos,USA,2006,-7.71E+11,4.623000145,1.47E+12,1.03E+12,4.04E+11,2.24E+12,1.92E+12,6.14E+23,5.30E+12,1.36E+14,8.12E+13,3.71E+12,3.79E+12,3.45E+13,1.38E+13
Estados Unidos,USA,2007,-7.18E+11,4.622099876,1.66E+12,1.15E+12,4.75E+11,2.38E+12,2.02E+12,7.37E+23,5.66E+12,1.42E+14,8.91E+13,4.45E+12,4.54E+12,3.72E+13,1.45E+13
Estados Unidos,USA,2008,-7.23E+11,5.784200191,1.84E+12,1.29E+12,5.22E+11,2.56E+12,2.17E+12,8.27E+23,5.63E+12,1.43E+14,9.53E+13,5.31E+12,8.38E+12,5.03E+13,1.47E+13
Estados Unidos,USA,2009,-3.96E+11,9.254199982,1.58E+12,1.06E+12,5.02E+11,1.98E+12,1.61E+12,5.37E+23,3.24E+12,1.13E+14,7.05E+13,3.73E+12,6.11E+12,2.81E+13,1.44E+13
Estados Unidos,USA,2010,-5.14E+11,9.633399963,1.85E+12,1.28E+12,5.63E+11,2.36E+12,1.97E+12,7.61E+23,4.57E+12,1.38E+14,8.46E+13,5.22E+12,9.18E+12,3.66E+13,1.50E+13
Estados Unidos,USA,2011,-5.79E+11,8.949199677,2.10E+12,1.48E+12,6.23E+11,2.68E+12,2.27E+12,9.84E+23,5.91E+12,1.54E+14,9.42E+13,6.23E+12,1.49E+13,4.66E+13,1.55E+13
Estados Unidos,USA,2012,-5.69E+11,8.069399834,2.19E+12,1.55E+12,6.63E+11,2.76E+12,2.34E+12,1.02E+24,5.31E+12,1.64E+14,9.80E+13,5.70E+12,1.59E+13,4.38E+13,1.62E+13
Estados Unidos,USA,2013,-4.91E+11,7.374899864,2.27E+12,1.58E+12,6.98E+11,2.76E+12,2.33E+12,1.03E+24,5.08E+12,1.67E+14,9.84E+13,5.31E+12,1.73E+13,3.93E+13,1.68E+13
Estados Unidos,USA,2014,-5.08E+11,6.167500019,2.37E+12,1.62E+12,7.37E+11,2.88E+12,2.41E+12,1.03E+24,5.19E+12,1.77E+14,1.00E+14,5.16E+12,1.81E+13,3.60E+13,1.75E+13
Estados Unidos,USA,2015,-5.20E+11,5.28000021,2.27E+12,1.50E+12,7.48E+11,2.79E+12,2.32E+12,7.71E+23,4.56E+12,1.82E+14,9.64E+13,4.41E+12,1.23E+13,2.01E+13,1.82E+13
Estados Unidos,USA,2016,-5.19E+11,4.86920023,2.22E+12,1.45E+12,7.62E+11,2.74E+12,2.25E+12,7.36E+23,4.32E+12,1.79E+14,9.22E+13,4.00E+12,1.12E+13,1.64E+13,1.87E+13
Estados Unidos,USA,2017,-5.75E+11,4.355199814,2.36E+12,1.55E+12,8.10E+11,2.93E+12,2.41E+12,8.55E+23,5.21E+12,1.89E+14,9.58E+13,4.23E+12,1.65E+13,2.05E+13,1.95E+13
Estados Unidos,USA,2018,-6.38E+11,3.89560008,2.51E+12,1.66E+12,8.40E+11,3.15E+12,2.61E+12,9.45E+23,5.67E+12,2.03E+14,9.89E+13,4.91E+12,2.28E+13,2.42E+13,2.05E+13
México,MEX,2000,-11462764922,2.645999908,1.80E+11,1.66E+11,13291081279,1.91E+11,1.79E+11,16414736990,3.82E+11,1.50E+13,1.39E+13,2.22E+11,1.61E+12,5.39E+11,7.08E+11
México,MEX,2001,-13867631740,2.627000093,1.72E+11,1.59E+11,12294248224,1.85E+11,1.73E+11,16256100740,3.54E+11,1.51E+13,1.35E+13,1.99E+11,1.26E+12,5.55E+11,7.57E+11
